,ID,Nome,Nascimento,CNS,CPF,UNIDADE,data_atendimento,condicao_saude
0,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-08-10 10:43:39.216577,hipertensao
1,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-12-19 03:18:47.561698,diabetes
2,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-11-06 19:41:54.226493,diabetes
3,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-10-14 04:59:44.437488,ferida vascular
4,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-05-13 22:39:26.461473,dengue
5,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-11-26 02:54:47.325142,dengue
6,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-12-17 13:40:39.702202,diabetes
7,1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2024-04-04 05:50:53.899429,hipertensao
8,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2023-05-25 06:24:37.640841,diabetes
9,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-03-14 02:01:15.002655,dengue
10,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-01-15 18:33:46.942101,diabetes
11,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2023-09-21 07:09:29.409935,dengue
12,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2023-10-20 18:52:56.623456,diabetes
13,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-04-11 17:16:11.788910,ferida vascular
14,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-03-22 16:34:21.708571,ferida vascular
15,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-02-11 18:54:27.192907,dengue
16,2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,"02 February, 2024",hipertensao
17,3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,2023-09-14 01:49:00.971052,ferida vascular
18,3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,2024-01-30 05:23:58.425052,hipertensao
19,3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,"06 September, 2023",ferida vascular
20,3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,2024-03-21 11:52:36.355426,hipertensao
21,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-03-01 15:47:39.369470,diabetes
22,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-01-10 18:39:30.225820,ferida vascular
23,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-10-09 01:09:46.028223,ferida vascular
24,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-08-08 06:56:11.156045,hipertensao
25,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,"29 June, 2023",ferida vascular
26,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-09-22 10:53:49.603296,ferida vascular
27,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-05-10 11:46:05.623544,diabetes
28,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-03-07 06:39:42.908695,dengue
29,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-12-15,ferida vascular
30,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-09-08 16:08:12.240497,diabetes
31,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-09-05 09:21:21.801329,dengue
32,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-02-21 11:28:03.305153,dengue
33,4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-11-08,diabetes
34,5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-02-19 10:25:00.719686,dengue
35,5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-08-01 12:08:36.769677,ferida vascular
36,5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-04-18 22:24:49.287476,dengue
37,5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-04-14 16:08:12.263362,ferida vascular
38,5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-07-12 10:38:36.791095,hipertensao
39,5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-08-16 02:48:27.671397,hipertensao
